session_id,RaceEthCategory,WhiteCondition,TooFast,WhiteBlackBIATGood,WhiteBlackBIATBad,WhiteAsianBIATGood,WhiteAsianBIATBad,WhiteHispanicBIATGood,WhiteHispanicBIATBad,AsianNeg,AsianPos,BlackNeg,BlackPos,HispNeg,HispPos,WhiteNeg,WhitePos,AsianCulturalWarmth,BlackCulturalWarmth,HispCulturalWarmth,WhiteCulturalWarmth,WhiteAsianCultPref,WhiteBlackCultPref,WhiteHispCultPref,WhiteAsianExp,WhiteBlackExp,WhiteHispExp,Age,Citizenship,Residence,Ethnicity,Race,Gender,CultPrfWhite,PrefWhitePos,PrefWhiteNeg
7230504,White,Hispanic,0, , , , ,-1.08594516985519,-.327909682092072, , , , ,1,3,2,3, , ,3,7, , ,2, , ,-1,55,us,us,2,White,m,2,0,-1
7230619,White,Black,0,-.245715226788493,.390631501361897, , , , , , ,2,4, , ,1,4, ,3, ,7, ,2, , ,0, ,25,us,us,3,White,f,2,0,1
7230638,Hispanic, ,0, , , , ,.0878212002278813,-.126990913142937, , , , ,3,2,1,3, , ,2,6, , ,2, , ,0,27,us,us,1,More than one race - Other,f,2,1,2
7230645,White,Hispanic,.0078125, , , , ,-.417845842045245,-.832950358593368, , , , ,2,5,2,5, , ,3,7, , ,1, , ,0,21,us,us,2,White,m,1,0,0
7230665,White,Asian,0, , ,.794314976998891,.656135987413926, , ,1,5, , , , ,1,5,6, , ,7,2, , ,0, , ,23,us,sm,2,White,m,2,0,0
7230678,Black, ,0,.176308168678531,-.110108919419278, , , , , , ,2,5, , ,2,5, ,2, ,3, ,1, , ,0, ,28,us,us,2,Black or African American,f,1,0,0
7230723,White,Asian,.0078125, , ,.503135161203503,.710518321589567, , ,2,2, , , , ,2,4,5, , ,6,2, , ,2, , ,19,us,us,2,White,f,2,2,0
7230735,Hispanic, ,.75, , , , , , , , , , ,1,3,1,3, , ,3,2, , ,1, , ,0,22,us,us,1,White,f,1,0,0
7230874,White,Asian,0, , ,-.0692133938752762,-.22863110372007, , ,1,5, , , , ,1,5,4, , ,4,0, , ,0, , ,27,us,us,2,White,m,0,0,0
7230939,White,Black,0,.137369128267256,.585463510794502, , , , , , ,3,4, , ,3,4, ,1, ,3, ,3, , ,1, ,52,us,us,2,White,f,3,0,0
7230954,White,Asian,0, , , ,.372006652513819, , ,1,2, , , , ,1,4,3, , ,5,1, , ,0, , ,58,us,sm,2,White,f,1,2,0
7231043,White,Asian, , , ,-.271397223738257, , , , , , , , , , , , , , , , , , , , , ,23,us,sm,2,White,m, , , 
7231078,Hispanic, ,0, , , , ,-.137690733569881,-.409543520548007, , , , ,3,2,3,3, , ,1,7, , ,3, , ,-2,21,us,us,1,Other or Unknown,f,3,1,0
7231091,White,Hispanic,0, , , , ,-.518662116335351,-.707052157753848, , , , ,1,2,2,2, , ,3,6, , ,1, , ,0,26,us,sm,2,White,f,1,0,-1
7231095,White,Black,0,.402263900081193,.703764121612671, , , , , , ,3,4, , ,2,5, ,2, ,7, ,3, , ,1, ,25,us,sm,2,White,f,3,1,1
7231128,Hispanic, ,0, , , , ,-1.23177365430363,-.16080984403416, , , , ,2,4,3,4, , ,2,7, , ,3, , ,-1,28,us,sm,1, ,f,3,0,-1
7231143,Hispanic, ,0, , , , ,.791933665425529,.969568650629729, , , , ,2,4,3,2, , ,5,7, , ,1, , ,1,42,us,us,1,More than one race - Other,f,1,-2,-1
7231144,White,Asian,0, , ,-.6020638349477,.290650823648903, , ,2,3, , , , ,2,1,5, , ,7,3, , ,0, , ,26,us,sm,1,White,f,3,-2,0
7231199,White,Black,0,.359369334938425,.561659927016193, , , , , , ,2,3, , ,2,3, ,7, ,7, ,0, , ,0, ,24,us,sm,2,White,f,0,0,0
7231211,Hispanic, ,.0078125, , , , ,.995820025617974,-.1770044977226, , , , ,1,5,2,2, , ,2,7, , ,3, , ,-3,22,us,sm,1,Other or Unknown,m,3,-3,-1
7231296,White,Hispanic,0, , , , ,-.22166292818182,.101068642819531, , , , ,2,3,2,4, , ,5,7, , ,2, , ,2,61,us,us,2,White,f,2,1,0
7231342,Hispanic, ,0, , , , ,.0183029048080705,.88811444462743, , , , ,2,5,3,3, , ,5,7, , ,3, , ,-2,21,us,us,1,Other or Unknown,f,3,-2,-1
7231474,Black, ,0,-.929663092132224,.424610302073513, , , , , , ,1,5, , ,1,5, ,1, ,1, ,2, , ,3, ,26,us,us,2,Black or African American,f,2,0,0
7231505,Hispanic, ,0, , , , ,.334935716439301,.122871270243241, , , , ,1,4,3,2, , ,1,7, , ,3, , ,-1,27,us,us,1,More than one race - Other,f,3,-2,-2
7231800,White,Black,.0234375,.0957987867752954,.612443333307109, , , , , , ,2,5, , ,2,5, ,7, ,5, ,0, , ,0, ,43,us,us,2,White,f,0,0,0
7231971,Asian, ,0, , ,-.804698607825881,.726498617388241, , ,3,4, , , , ,3,3,2, , ,6,3, , ,-2, , ,50,us,se,3,East Asian,f,3,-1,0
7232085,White,Black,.0078125,.167336917790805,.957097952457929, , , , , , ,2,3, , ,2,3, ,3, ,7, ,2, , ,1, ,19,us,us,2,White,m,2,0,0
7232144,White,Asian,0, , ,.912711592311162,-.315543256005262, , ,1,5, , , , ,1,5,7, , ,7,0, , ,0, , ,28,us,sm,2,White,m,0,0,0
7232289,Black, ,0,.307536344610856,.23667361095221, , , , , , ,2,4, , ,3,3, ,2, ,7, ,3, , ,0, ,45,us,sm,2,Black or African American,f,3,-1,-1
7232338,White,Hispanic,0, , , , ,.78335262395302,.344336569435656, , , , ,2,2,2,3, , ,2,6, , ,2, , ,2,39,us,sm,2,White,f,2,1,0
7232381,Black, ,0,-.934912195638518,-.0434571648754202, , , , , , ,2,4, , ,4,2, ,1, ,7, ,3, , ,-2, ,60,us,us,.,Black or African American,f,3,-2,-2
7232471,White,Black,0,.0647724828354515,.0696913619629843, , , , , , ,2,4, , ,2,4, ,2, ,6, ,2, , ,0, ,24,us,us,.,White,m,2,0,0
7232481,White,Black,0,.167360294111877,.199415261260137, , , , , , ,1,4, , ,1,4, ,6, ,4, ,0, , ,0, ,24,us,sm,3,White,m,0,0,0
