Variable,Label,Values
session_id,,
RaceEthCategory,Participant Race or ethnicity for analyses,
WhiteCondition,Condition for White participants (what was contrast race),
TooFast,Percentage of trials in BIATs deemed too fast,
WhiteBlackBIATGood,Good BIAT score for White vs. Black people,
WhiteBlackBIATBad,"Bad BIAT score for White vs, Black people",
WhiteAsianBIATGood,Good BIAT score for White vs. Asian people,
WhiteAsianBIATBad,Bad BIAT score for White vs. Asian people,
WhiteHispanicBIATGood,Good BIAT score for White vs. Hispanic people,
WhiteHispanicBIATBad,Bad BIAT score for White vs. Hispanic people,
AsianNeg,Negativity towards Asian people,"1=Not at all negative, 5=Extremely negative"
AsianPos,Positivity towards Asian people,"1=Not at all positive, 5=Extremely positive"
BlackNeg,Negativity towards Black people,"1=Not at all negative, 5=Extremely negative"
BlackPos,Positivity towaeds Black people,"1=Not at all positive, 5=Extremely positive"
HispNeg,Negativity towards Hispanic people,"1=Not at all negative, 5=Extremely negative"
HispPos,Positivity towards Hispanic people,"1=Not at all positive, 5=Extremely positive"
WhiteNeg,Negativity towards White people,"1=Not at all negative, 5=Extremely negative"
WhitePos,Positivity towards White people,"1=Not at all positive, 5=Extremely positive"
AsianCulturalWarmth,Cultural liking for Asian people,"1=Strongly dislike, 7=Strongly like"
BlackCulturalWarmth,Culutural liking for Black people,"1=Strongly dislike, 7=Strongly like"
HispCulturalWarmth,Cultural liking for Hispanic people,"1=Strongly dislike, 7=Strongly like"
WhiteCulturalWarmth,Culutural liking for White people,"1=Strongly dislike, 7=Strongly like"
WhiteAsianCultPref,Cultural preferences for White vs. Asian people,
WhiteBlackCultPref,Cultural preferences for White vs. Black people,
WhiteHispCultPref,Cultural preferences for White vs. Hispanic people,
WhiteAsianExp,Explicit preference for White vs. Asian people,
WhiteBlackExp,Explicit preference for White vs. Black people,
WhiteHispExp,Explicit preference for White vs. Hispanic people,
Age,Participant Age,
Citizenship,Participant country of citizenship,
Residence,Participant country of residence,sm= same country as citizenship
Ethnicity,Participant ethnicity,"1=Hispanic or Latino, 2=Not Hispanic or Latino, 3=Unknown"
Race,Participant Race,
Gender,Participant gender,"f=female, m=male"
CultPrfWhite,Cultural preferences for Whites relative to other race.  Higher scores mean more cultural warmth towards Whites.,
PrefWhitePos,Preference for Whites relative to other race on positive associations. Higher scores mean more positivity towards Whites,
PrefWhiteNeg,Preference for Whites relative to other race on negative associations. Higher scores mean more positivity (less negativity) towards Whites,
