Variable,Label,Values
session_id,,
TooFast,Percentage of trials in BIATs deemed too fast,
WhiteBlackBIATGood,Good BIAT score for White vs. Black people,
WhiteBlackBIATBad,"Bad BIAT score for White vs, Black people",
WhiteAsianBIATGood,Good BIAT score for White vs. Asian people,
WhiteAsianBIATBad,Bad BIAT score for White vs. Asian people,
WhiteHispanicBIATGood,Good BIAT score for White vs. Hispanic people,
WhiteHispanicBIATBad,Bad BIAT score for White vs. Hispanic people,
BJWAgg,Belief in Just World scale average,
GBDAgg,Group-Based Dominance scale average,
PDAgg,Power Distance Scale average,
SLBAgg,Systel Legitimizing Beliefs scale average,
Conservatism,Conservatism,"-3 = Strongly Liberal, 0 = Neutral, 3 = Strongly conservative'"
ExplicitPref,Explicit racial attitudes,"-3=Strongly prefer minority group, 0 = No preference, 3 = Strongly prefer White people'"
Age,Participant age,
CountryCit,Country of citizenship,1=U.S. Citizen'
Ethnicity,Ethnicity,"1=Hispanic or Latino, 2= Not Hispanic or Latino, 3='Unknown'"
EthnicityBinary,,
Gender,Participant gender,"1=Male, 2=Female, 3=Transgender, MTF, 4=Transgender, FTM, 5= Other'"
Race,Participant race,"1=American Indian, 2= East Asian, 3= South Asian, 4= Native Hawaiian, 5= Black, 6= White, 7= Other or Unknown, 8=Multiracial'"
RaceMulti,"If multi-racial, what races participant is",
