Variable,Label,Values
session_id,Participant session id,
Religion,Participant religion,
Condition,,
ConditionNumeric,,"Condtion: -1=Bad, 1=Good"
Error,Percentage of trials in MC-IAT that had an error,
TooFast,Percentage of trials in MC-IAT that were deemed too fast,
ChristJewBIAT,BIAT score for Christianity vs. Judaism,
ChristIslamBIAT,BIAT score for Christianity vs. Islam,
ChristHinduBIAT,BIAT score for Christianity vs. Hindusim,
JewIslamBIAT,BIAT score for Judaism vs. Islam,
JewHinduBIAT,BIAT score for Judaism vs. Hindusim,
IslamHinduBIAT,BIAT score for Islam vs. Hinduism,
ChristImp,Aggregate MC-IAT score for Christianity,
IslamImp,Aggregate MC-IAT score for Islam,
JewImp,Aggregate MC-IAT score for Judaism,
HinduImp,Aggregate MC-IAT score for Hinduism,
ChristJewExp,Explicit preference for Christians vs. Jews,
ChristIslamExp,Explicit preference for Christians vs. Muslims,
ChristHinduExp,Explicit preference for Christians vs. Hindus,
JewIslamExp,Explicit preference for Jews vs. Muslims,
JewHinduExp,Explicit preference for Jews vs. Hindus,
IslamHinduExp,Explicit preference for Muslims vs. Hindus,
ChristExpAgg,Aggregate explicit preference for Christians,
HinduExpAgg,Aggregate explicit preference for Hindus,
JewExpAgg,Aggregate explicit preference for Jews,
IslamExpAgg,Aggregate explicit preference for Muslims,
Ethnicity,Participant ethnicity,"1=Hispanic or Latino, 2=Not Hispanic or Latino, 3=Unknown"
Race,Participant race,
religionid,Participant religious identification,"1=not at all religious, 2= somewhat religious, 3=moderately religious, 4=very religious"
citizenship,Participant country of citizenship,
residence,Participant country of residence,"SM= ""same as citizenship"""
Age,Participant Age,
Gender,Participant Gender,
CondxCJBIAT,Condition by Christianty Judaism BIAT interaction,
CondxCHBIAT,Condition by Christianity Hinduism BIAT interaction,
CondxCIBIAT,Condition by Christianity Islam BIAT interaction,
