session_id,Location,Sample,TooFast,ChristJewBIATGood,ChristJewBIATBad,ChristJewExp,ChristianNeg,ChristianPos,JewishNeg,JewishPos,ChristianCultWarmth,JewishCultWarmth,ChristJewCultPref,Age,Gender,Religion,Religiosity,PrefJewPos,PrefJewNeg,CultWarmthDifference
7251209,US,PI,0,.524329780175882,.620603933222134,0,2,3,1,3,6,3,-2,25,f,4,2,0,1,-3
7251251,US,PI,0,.226024119712846,-.0223914736123599,0,2,4,2,3,6,3,-1,19,m,5,2,-1,0,-3
7252858,US,PI,0,.0538485725916835,.7489821217316,0,2,4,1,5,6,3,-2,26,f,4,1,1,1,-3
7254563,US,PI,0,1.06479698318355,.753163194891036,-3,2,2,1,5,7,3,2,20,f,19,3,3,1,-4
7257606,US,PI,0,1.06235198422399,1.07296044371909, ,1, ,1,4,4, ,-3,25,f, , , ,0, 
7262824,US,PI,0,.201937304243834,-.296295049621128,0,3,3,2,3,7,3,-3,24,f,4,1,0,1,-4
7263329,US,PI,0,.510598987023393,.569345079403995,2,4,2,2,4,6,2,-3,21,m,5,1,2,2,-4
7274936,US,PI,0,.499236925610667,.9285833059431,3,3,4,1,5,7,7,-1,23,m,5,2,1,2,0
7280824,US,PI,0,-.259797314994459,.239517086321907,0,3,3,2,4,7,3,2,24,f,73,3,1,1,-4
7282893,US,PI,0,.103252231972454,-.206848024327682,0,1,5,1,5,7,3,-3,25,f,1,1,0,0,-4
7293755,US,PI,0,1.09372449436013,.982609268356901,2,3,2,2,4,7,5,-2,24,f,5,1,2,1,-2
7295775,US,PI,0,.627963182718141,-.174034709679747,1,2,4,1,5,4,3,-3,22,m,1,3,1,1,-1
7296559,US,PI,0,-.415190370872497,-.475525759578846,2,3,2,1,4,6,2,-3,19,m,5,1,2,2,-4
7299152,US,PI,.03125,.713746850889212,.764161474767368,2,4,2,1,5,6,2,-3,25,f,5,2,3,3,-4
7300937,US,PI,0,.605944902671497,-.174137417209247,0,1,3,1,3,6,4,-1,22,m,4,2,0,0,-2
7304097,US,PI,0,.274171885444965,.377592395243768,2,3,3,3,3,7,5,-1,18,f,4,2,0,0,-2
7308761,US,PI,0,.43930900059565,.96381327976317,0,1,4,1,4,4,3,0,24,f,4,1,0,0,-1
7309850,US,PI,.0078125,.852355190233767, ,2,2,3,3,4,7,2,-3,25,f,5,1,1,-1,-5
7311974,US,PI,0,-.117348288864409,-.779726001338451,1,2,2,1,4,6,3,-2,26,f,4,2,2,1,-3
7312907,US,PI,0,.450940419038416,-.0570646735421511,1,3,3,3,3,5,4,-1,20,m,5,1,0,0,-1
7316864,US,PI,0,.662535499462509,.00962161401932113,1,2,1,1,5,7,1,-3,27,f,1,3,4,1,-6
7318508,US,PI,0,.363514120467156,.445010950827155,0,2,4,2,4,7,2,-3,24,f,4,1,0,0,-5
7320645,US,PI,0,.475514920847377,-.0896690643170695,2,4,2,2,4,5,2,-2,18,f,1,2,2,2,-3
7327757,US,PI,.75, , ,0,3,2,2,4,2,3,-3,22,m,4,1,2,1,1
7337665,US,PI,.6171875,-.512099604492087, ,1,2,2,3,3,7,7,2,24,m,5,2,1,-1,0
7339163,US,PI,0,.673854878465474,.510597232552943,2,3,2,1,4,7,3,-3,23,f,4,2,2,2,-4
7344898,US,PI,0,.61968212150531,.00692942149494824,3,2,3,1,4,7,3,-3,23,f,4,1,1,1,-4
7352334,US,PI, , , ,0,1,5,1,5,7,5,-3,26,m,4,3,0,0,-2
7358478,US,PI, , , ,1,1,1,1,2,6,3,-2,24,m,1,1,1,0,-3
7367487,US,PI,.0078125,.442385402870413,-.126489205854471,-1,3,2,1,4,7,2,3,27,f,75,4,2,2,-5
7368049,US,PI, , , ,2,2,3,2,4,3,2,-2,22,f,5,2,1,0,-1
7372546,US,PI,0,-.55660199909102,-.65429507341201,0,1,4,1,5,6,7,1,22,f,41,3,1,0,1
7372956,US,PI,0,.161018472946784,.0181840095142165,0,1,4,1,5,7,6,-1,23,f,4,1,1,0,-1
7374791,US,PI,0,.431109979428804,-.0466193638387242,0,1,5,1,5,7,5,-2,26,f,4,1,0,0,-2
7375514,US,PI,.015625,.741643416168512,.671612553799727,0,1,3,1,5,5,4,-2,27,f,1,2,2,0,-1
7381600,US,PI, , , ,0,2,2,2,2,6,3,-2,19,m,1,3,0,0,-3
7381682,US,PI, , , ,0,1,3,1,5,7,6,-2,27,f,5,1,2,0,-1
7381816,US,PI,0,.0610223710437711,.0617096660895054,1,1,3,1,5,7,6,-2,26,m,4,1,2,0,-1
7382610,US,PI, , ,-.428030238528749,0,2,3,2,2,6,3,-2,24,m,5,1,-1,0,-3
7389311,US,PI,0,.800250142878704,.69334551908988,3,2,3,1,5,7,3,-2,24,f,1,3,2,1,-4
7390775,US,PI,0, ,-.303733916212531,3,1,4,1,5,7,2,-3,20,f,4,3,1,0,-5
7391451,US,PI,0,-.0340596768561509,.638938268800024,2,1,5,1,5,6,2,-3,22,f,4,2,0,0,-4
7392549,US,PI,0,-.149403105850105,.161213193319035,0,2,3,1,3,6,4,-1,25,m,5,1,0,1,-2
7395375,US,PI,0,.658971216730137,.725558036421055,0,1,3,2,4,3,3,-3,22,m,4,2,1,-1,0
7396031,US,PI, , , ,2,1,3,1,5,6,2,-2,18,m,4,2,2,0,-4
7396084,US,PI,0,.312286277915399,-.0153768987707206,0,1,5,1,5,7,6,-1,20,m,4,1,0,0,-1
7402038,US,PI,.0078125,.596909650594927,.145509947936517,0,2,3,1,2,6,4,-2,24,f,4,2,-1,1,-2
7402252,US,PI, ,.685815357642123, , , , , , , , , ,23,f, , , , , 
7402653,US,PI,0,-.0725538581505979,.076546216525585,0,2,2,2,4,4,7,-1,22,f,4,2,2,0,3
7402839,US,PI,.0078125,.658882699967889,.52981882851608,2,2,3,1,4,7,3,-2,27,m,4,2,1,1,-4
7403825,US,PI,0,.445708973218201,.338172756339583,-2,2,2,1,5,6,3,2,19,m,1,3,3,1,-3
7403825,US,UVA,0,.445708973218201,.338172756339583,2,2,2,1,5,6,3,-2,19,m,1,3,3,1,-3
7403837,US,UVA,0,.235171445275733,-.292426111392284,0,1,5,1,5,7,5,-1,21,f,4,4,0,0,-2
7403843,US,PI,.0078125,.514044302911803,.255729814076708,-1,1,3,1,5,5,4,1,21,f,1,3,2,0,-1
7403843,US,UVA,.0078125,.514044302911803,.255729814076708,1,1,3,1,5,5,4,-1,21,f,1,3,2,0,-1
7403852,US,UVA,0,.885448174900974,.694047007326531,0,1,4,1,4,7,6,-3,25,f,4,2,0,0,-1
7403919,US,UVA,0,-.238626364876249,.451458090584564,1,2,4,2,4,3,3,-1,18,m,4,2,0,0,0
7403936,US,UVA,0,-.131002727030615,-.0246308957170617,1,1,3,1,4,5,4,0,22,m,4,2,1,0,-1
7403944,US,PI,0,1.12566823219326,-.0610667163570678,-2,2,3,1,4,7,3,2,18,m,1,2,1,1,-4
7403944,US,UVA,0,1.12566823219326,-.0610667163570678,2,2,3,1,4,7,3,-2,18,m,1,2,1,1,-4
7403992,US,UVA,0,.350677996880185,-.074085894570815,0,1,4,1,4,6,4,-2,23,f,6,3,0,0,-2
7404200,US,UVA,0,.227773286628832,-.0767131331067685,1,2,3,1,4,6,2,-1,23,f,6,2,1,1,-4
7404214,US,UVA,0,.217192350118154,.821182550631284,0,1,4,1,5,6,4,-2,25,f,4,2,1,0,-2
7404352,US,UVA,0,-.126173509079599,-.339511084623476,0,2,3,2,4,5,3,-1,20,f,5,1,1,0,-2
7404389,US,UVA,0,.180362511361748,.643220411903447,0,1,5,1,5,7,6,-2,19,m,4,3,0,0,-1
7404441,US,UVA,0,.290721546893959,-.125425476565556,3,1,4,1,5,5,3,-1,19,f,3,3,1,0,-2
7404493,US,PI,0,.54219040729231,-.185555905149961,0,2,3,2,3,6,2,-3,19,m,4,2,0,0,-4
7404577,US,UVA,0,.694161260510568,.302541011978787,2,5,4,4,4,6,3,-2,18,m,4,3,0,1,-3
7404731,US,PI,.8828125,-.295809046132417,.165773443655131,1,3,3,3,3,4,4,1,21,m,10,4,0,0,0
7404802,US,UVA,0,.0965357164215817,.660577394317611,0,1,5,1,5,6,4,-1,19,f,6,2,0,0,-2
7405024,US,PI,0,.182375182274764,.276060080139345,0,2,4,2,4,3,3,-2,22,m,4,2,0,0,0
7405069,US,PI,0,.564183053837522,.725214645116432,-1,5,5,1,5,6,5,1,20,f,1,3,0,4,-1
7405069,US,UVA,0,.564183053837522,.725214645116432,1,5,5,1,5,6,5,-1,20,f,1,3,0,4,-1
7405255,US,UVA,0,.0124741863406268,-.547551275882463,0,1,3,1,3,4,4,0,18,m,4,2,0,0,0
7405494,US,UVA,.0078125,.309941350608115,.0153013325194549,0,2,4,1,5,7,2,-3,20,f,5,1,1,1,-5
7405531,US,UVA,0,.547684170276965,.890602384082095,2,3,3,1,5,7,4,-2,25,f,5,1,2,2,-3
7405979,US,PI,0,.873467046869554,-.097667073745374,0,1,4,1,5,7,4,2,21,f,1,1,1,0,-3
7405979,US,UVA,0,.873467046869554,-.097667073745374,0,1,4,1,5,7,4,-2,21,f,1,1,1,0,-3
7408584,US,PI,0,.696466413769509,.843383094048405,2,4,3,2,5,7,6,-2,18,f,1,3,2,2,-1
7411948,US,PI,0,-.260502926155987,-.20896032389453, , , , , , , , ,23,m, , , , , 
7413316,US,PI, , , ,0,1,5,1,5,7,3,-2,24,f,4,1,0,0,-4
7414972,US,PI,0,.57931047316282, ,1,2,2,1,4,6,5,-2,27,f,1,2,2,1,-1
