session_id,Location,Sample,TooFast,ChristJewBIATGood,ChristJewBIATBad,ChristJewExp,ChristianNeg,ChristianPos,JewishNeg,JewishPos,ChristianCultWarmth,JewishCultWarmth,ChristJewCultPref,Age,Gender,Religion,Religiosity,PrefJewPos,PrefJewNeg,CultWarmthDifference
7153555,IS,BGU,0,.64373229568051,.0139956478532726,2,3,3,2,5,4,6,2,25,m,1,1,2,1,2
7153572,IS,BGU,0,.486214185192575,.281262472695233,3,2,1,2,5,4,7,3,23,f,1,3,4,0,3
7153587,IS,BGU,0,.0656762125793174,.547187969671811,0,1,1,1,4,4,6,3,23,f,1,1,3,0,2
7153630,IS,BGU,.0234375,1.17374657060168,.521137881355463,0,1,3,1,3,1,4,0,25,m,1,1,0,0,3
7153653,IS,BGU,0,.072613782905342,.143160070122892,2,1,3,1,4,4,6,2,23,f,1,1,1,0,2
7153685,IS,BGU,.015625,.465254195711214,.648205725018493,2,1,3,1,4,2,7,3,23,f,1,2,1,0,5
7153688,IS,BGU,0,.69463042886689,.403285379079955,1,1,4,1,4,6,7,2,24,f,1,1,0,0,1
7153722,IS,BGU,.0078125,.600644880403464,-.0198291639824189,3,1,2,2,4,6,7,2,26,m,1,1,2,-1,1
7153727,IS,BGU,0,.328809166036758,.72483839742918,1,1,5,1,5,6,7,1,24,f,1,1,0,0,1
7153746,IS,BGU,0,.456665186760683,.914616823785993,0,3,1,3,1,2,6,3,27,m,4,1,0,0,4
7153969,IS,BGU,.46875,.535929100626791,.275566805463305,0,3,3,3,3,4,4,0,21,f,2,4,0,0,0
7153987,IS,BGU,0,-.294687423902516,.107214792103926,0,3,2,3,3,5,5,0,20,f,2,4,1,0,0
7154071,IS,BGU,0,.649308278991318,.710876087505604,0,1,5,1,5,5,7,2,27,m,1,2,0,0,2
7154138,IS,BGU,0,.696050507487157,.650467789717328,0,1,5,2,3,3,7,3,23,f,1,1,-2,-1,4
7155111,US,PI, , , ,0,2,3,1,5,4,4,0,19,m,1,2,2,1,0
7155992,IS,BGU,.0078125,.658093777964634,.548246084795118,2,2,3,1,4,5,7,3,24,f,1,1,1,1,2
7155994,IS,BGU,0,.340823629681227,.501791549272958,3,1,2,1,4,4,6,3,28,f,1,1,2,0,2
7156129,IS,BGU,0,.0825205011748927,.0350541960980649,0,1,4,1,4,4,2,3,25,f,1,1,0,0,-2
7156131,IS,BGU,.0078125,.675978528858489,.658780415235414,0,1,4,2,4,6,6,1,24,f,1,1,0,-1,0
7156204,IS,BGU,.0234375,1.00556735143118,.881099452425229,3,2,2,1,5,4,7,3,24,f,1,3,3,1,3
7156229,IS,BGU,0,.122054180777399,.226458928553189,0,1,4,1,5,6,7,1,24,f,1,1,1,0,1
7156651,US,PI, , , ,1,1,3,1,5,6,7,1,19,f,4,2,2,0,1
7159242,US,PI, , , ,0,2,2,1,4,4,3,-3,21,f,1,1,2,1,-1
7159758,US,PI, , , ,2,1,4,1,5,4,7,3,19,f,2,2,1,0,3
7160431,US,PI, , , ,1,1,4,2,5,7,7,0,22,f,1,3,1,-1,0
7164552,US,PI, , , , , , , , , , , ,21,f,26, , , , 
7164613,US,PI, , , ,0,1,4,1,4,7,7,0,19,f,5,1,0,0,0
7165162,US,PI, , , ,3,1,2,3,4,6,7,3,23,f,2,3,2,-2,1
7165297,US,PI, , , ,1,1,2,2,2,4,4,1,20,m,4,2,0,-1,0
7165348,US,PI, , , ,0,1,3,1,4,5,5,-2,20,f,4,2,1,0,0
7170487,US,PI, , , , ,5,1,1,5, ,7,1,21,f,4,2,4,4, 
7171229,US,PI, , , ,2,1,4,1,5,4,7,3,19,f,6,2,1,0,3
7173623,US,PI, , , ,0,1,5,1,5,7,6,-3,20,.,1,2,0,0,-1
7176860,US,PI, , , ,0,1,4,1,5,7,4,-1,23,m,4,3,1,0,-3
7179381,US,PI, , , ,0,1,4,1,5,7,7,1,20,f,4,1,1,0,0
7179709,US,PI, , , ,1,1, , ,5,7,2,3,18,m,4,2, , ,-5
7180284,US,PI, , , ,3,3,3,1,5,7,6,-1,19,f,4,3,2,2,-1
7180326,US,PI, , , ,0,1,1,1,1,5,4,0,21,m,4,1,0,0,-1
7180804,US,PI, , , ,-1,2,1,2,2,3,5,-1,27,f,74,4,1,0,2
7180937,IS,BGU,.015625,.0922967632138345,.199502472991654,0,1,1,1,2,6,7,3,24,m,1,1,1,0,1
7180952,IS,BGU,0,.584200907605208,.163268177209979,1,1,5,1,5,6,7,3,25,m,1,1,0,0,1
7180977,IS,BGU,0,.523717418823586,.729301715952143,3,3,3,2,4,4,4,2,20,m,1,1,1,1,0
7180980,IS,BGU,0,.0877471494431981,.57352409100786,0,2,3,3,2,6,6,-2,23,f,1,1,-1,-1,0
7181031,IS,BGU,0,.341554101067582,.471192218607913,1,3,2,3,4,4,7,3,24,m,1,1,2,0,3
