Variable,Label,Values
session_id,Participant session id,
Location,Country location of sample,"IS=Israel, US=United States"
Sample,Source of sample,"UVA= University of Virginia, PI= Project Implicit, BGU= Ben Gurion University"
TooFast,Percentage of trials that were too fast,
ChristJewBIATGood,Good-focal BIAT score for Christianity vs. Judaism,
ChristJewBIATBad,Bad-focal BIAT score for Christianity vs. Judaism,
ChristJewExp,Explicit preference for Christians vs. Jews,
ChristianNeg,Negativity towards Christians,"1=Not at all negative, 5=Extremely negative"
ChristianPos,Positivity towards Christians,"1=Not at all positive, 5=Extremely positive"
JewishNeg,Negativity towards Jews,"1=Not at all negative, 5=Extremely negative"
JewishPos,Positivity towards Jews,"1=Not at all positive, 5=Extremely positive"
ChristianCultWarmth,Perceived cultural warmth towards Christians,"1=Strongly Dislike, 7=Strongly Like"
JewishCultWarmth,Perceived cultural warmth towards Jews,"1=Strongly Dislike, 7=Strongly Like"
ChristJewCultPref,Perceived cultural preference for Jews vs. Christians,
Age,Participant age,
Gender,Participant gender,"f=Female, m=Male"
Religion,Participant religion,"1=Conservative Jew, 2= Orthodox Jew, 3=Reconstructionist Jew, 4=Reform Jew, 5=Secular Jew, 6=Other Jew; see Materials folder for remainder of response options"
Religiosity,Participant religiosity,"1=I am not at all religious, 2=I am somewhat religious, 3=I am moderately religious, 4=I am very religious"
PrefJewPos,Preference for Jews on positivity,
PrefJewNeg,Preference for Jews on negativity,
CultWarmthDifference,Cultural warm for Jews relative to Christians,
