Name,Label
Ethnicity,Participant ethnicity
Race,Participant Race
Gender,Participant Gender
Age,Participant Age
session_id,Participant Session ID
TooFast,Percentage of trials that were too fast in the BIATs
CelebrityBIATGood,Good-focal BIAT score
CelebrityBIATBad,Bad-focal BIAT score
CelebrityExp,Explicit preference for celebrities vs. non-celebrities (higher scores mean more preference for celebrities)
