session_id,TooFast,StraightGayBIATGood,StraightGayBIATBad,StraightGayExp,Age,Citizenship,Ethnicity,Race,Gender,SexualOrientation,TempGay,TempStraight,ThermDiff
2572776,.0078125,.0128350460343294,.811833836230362,0,18,1,2,White or Caucasian,1,1,4,5,1
2572840,0,.00299093693243362,.589194862687617,0,18,1,2,South Asian,1,1,2,2,0
2572845,0,.563981344865197,.204514322205115,0,18,1,2,White or Caucasian,1,1,5,5,0
2572853,0,.459146783216492,1.17317330798804,1,19,119,2,South Asian,1,1,4,4,0
2572896,0,.604260609814253,1.08499681790743,3,18,1,2,White or Caucasian,2,1,2,5,3
2572906,.0078125,.748556182393696,.636579864577875,0,18,1,2,South Asian,1,1,0,0,0
2572911,.0078125,.643333354324631,.329643503363946,0,18,1,2,White or Caucasian,1,1,5,5,0
2572944,0,.0962732772032349,.727352603595065,1,20,1,2,White or Caucasian,1,1,5,5,0
2572965,0,.352923088587957,.952459972836631,0,18,1,2,South Asian,2,1,1,1,0
2572967,.0390625,.264471107691151,-.165795831521025,0,20,1,2,South Asian,1,1,5,5,0
2572994,.015625,.64785394499334,.722069935189708,2,22,1,2,East Asian,1,1,2,3,1
2572995,0,.206429270204614,.728781165409338,0,18,1,2,White or Caucasian,2,1,3,3,0
2573227,0,-.168379970199419,.248528800949434,1,18,56,2,Black or African,1,1,4,4,0
2573328,0,-.394385927387109,.214286923100046,0,19,1,2,White or Caucasian,1,1,0,0,0
2573434,0,.908681475100031,1.00781527261416,2,18,1,1,Biracial,2,1,3,5,2
2573591,0,.426765302266624,.526148392574807,0,19,188,2,White or Caucasian,1,1,4,4,0
2573634,0,.0707992227467521,.132249404049738,2,19,1,2,White or Caucasian,1,1,4,4,0
2573712,0,.631415339218397,1.15244457111714,2,18,1,2,White or Caucasian,2,1,2,5,3
2573716,0,.1697288152344,.15034821705836,0,18,1,2,White or Caucasian,2,1,4,4,0
2573819,0,.0436448580438175,-.229935108767115,0,19,1,1,White or Caucasian,1,1,5,5,0
2573844,0,.0395947121624207,.17358998407103,0,21,1,2,White or Caucasian,2,1,3,4,1
2573855,0,.763052397226128,.787280426986055,2,18,1,2,White or Caucasian,2,1,2,5,3
2573867,0,-.126940346328645,.299447113509118,0,18,1,2,White or Caucasian,1,1,5,5,0
2573935,0,.105709576340064,.0394859422248961,0,18,77,2,South Asian,1,1,2,0,-2
2573988,0,.0289573798648695,.0874399879158494,1,19,1,2,White or Caucasian,2,1,3,3,0
2574028,.0078125,.269181374783528,-.22990445364814,1,21,1,2,White or Caucasian,1,1,4,4,0
2574045,0,1.15733707285386,.755898929342187,0,18,1,2,Biracial,1,1,5,5,0
2574051,0,-.166193898786452,.213291129047602,0,18,1,2,White or Caucasian,1,1,5,5,0
2574077,0,.679315589823401,.698052021277132,2,18,1,1,White or Caucasian,1,1,-1,4,5
2574083,0,.628738515295115,.985523254358948,0,22,1,2,White or Caucasian,2,1,5,5,0
2574094,0,.186974229243907,.933796876089168,1,19,1,2,White or Caucasian,2,1,0,2,2
2574115,.0078125,.105409880257307,.0519629840162761,0,18,1,2,East Asian,1,1,0,0,0
2574153,0,.548019797380617,.693909244507812,1,18,1,2,White or Caucasian,1,1,1,4,3
2574175,0,.432504253475322,.874118818753133,2,18,1,.,White or Caucasian,2,1,1,3,2
2574208,.0234375,.634204933669675,-.0191509433487629,0,18,1,2,Black or African,2,1,2,5,3
2574230,0,.127788136963993,-.674734906466834,1,19,1,2,White or Caucasian,1,1,4,4,0
2574262,0,-.320063690586119,.433015854531917,0,18,1,1,Biracial,1,1,0,0,0
2574890,0,-.350489946815721,.604412734102447,0,18,1,1,Biracial,2,1,4,5,1
2574917,0,.542198633033404,.75627501118825,1,20,79,2,Other or Unknown,1,1,-1,3,4
2574919,0,-.470148410372917,.736501533026418,0,19,1,3,East Asian,1,1,3,3,0
2574998,0,-.342690584027635,-.0615713283729694,0,19,1,2,Biracial,2,1,4,4,0
2575183,.1796875,-.469898934186656,-.0445362383630478,2,23,86,2,East Asian,2,1,5,5,0
2575255,0,.125718629429381,1.06999787357962,-2,21,37,2,East Asian,1,1,4,4,0
2575399,0,-.46266154839013,.15012050554173,0,18,1,2,East Asian,2,1,2,4,2
2575459,0,.139708840322921,.571871346734117,0,21,1,2,White or Caucasian,2,1,0,0,0
2575463,0,.0743538148358168,.642438357315708,0,18,1,2,South Asian,2,1,4,3,-1
2575524,0,.578947316280219,.319143088102423,1,18,1,2,White or Caucasian,1,1,2,4,2
2575667,0,.0352444696348679,.364148791757208,1,20,1,2,East Asian,1,1,2,3,1
2576271,0,.196372651211088,.640265391049837,2,19,1,2,White or Caucasian,2,1,3,4,1
2576360,0,.00848510987770615,.873036330210206,0,18,32,2,South Asian,1,1,0,0,0
2576434,0,.571972605714076,.820851182627419,0,18,86,2,East Asian,2,1,1,1,0
2577280,.0078125,-.0812143564988165,-.133017332547948,0,18,1,2,East Asian,1,1,0,0,0
2577301,0,-.226783750178997,.0240021970447041,1,19,184,2,Black or African,1,1,0,0,0
2577428,0,.0304701728221115,.390479317379505,0,18,1,2,Biracial,1,1,5,5,0
2578233,0,.459485965392169,.516463601744386,0,18,1,2,White or Caucasian,2,1,3,3,0
2578622,.46875,-1.26468487525217,1.07895267347603,2,18,1,2,White or Caucasian,2,1,-3,4,7
2578764,0,-.203871347090136,.109160023487921,0,24,1,2,White or Caucasian,2,1,4,0,-4
2578794,0,.576122187378729,.712701095197401,0,18,1,2,Biracial,1,1,3,3,0
2578839,0,.574775591218635,-.00623921798271664,0,19,1,2,White or Caucasian,1,1,4,4,0
2579088,0,.787113153940016,1.02786454706203,2,23,92,2,East Asian,1,1,3,4,1
2579125,0,.662792567947976,.354054041020942,2,18,1,2,White or Caucasian,2,1,-1,4,5
2579367,.0078125,-.166747930879416,.453903576758782,0,18,1,1,Biracial,1,1,5,5,0
2579478,0,-.0365289247489395,.181732397384216,1,19,1,2,White or Caucasian,1,1,4,5,1
2580233,.2421875,.711869912200707,.315235805856108,2,19,1,2,White or Caucasian,2,1,2,5,3
2580400,0,.736732609237228,.816187306541111,0,18,129,1,Other or Unknown,1,1,4,4,0
2580731,0,.159120124453477,.726049642649281,0,20,1,2,Biracial,1,1,3,3,0
2580937,0,-.449305191203845,.299102852838123,0,18,1,2,White or Caucasian,1,1,5,5,0
2580994,.0078125,-.354796236367863,.0530708175269625,0,19,1,2,White or Caucasian,2,1,5,5,0
2581220,0,.616585659919003,.841503647078188,3,19,1,2,White or Caucasian,2,1,3,5,2
2581287,.0078125,.235232595055107,.190395330295527,1,20,1,2,White or Caucasian,2,1,4,4,0
2581341,0,.511102224552471,.117723547155869,0,21,37,2,East Asian,1,1,0,0,0
2581539,0,.860961422653822,.105967069953354,2,19,1,2,White or Caucasian,2,1,3,4,1
2581550,0,-.0333846188471474,.0595934022558131,0,18,1,2,Biracial,2,1,2,1,-1
2581553,0,.58643754836092,-.205904147919924,0,18,1,2,Other or Unknown,1,1,5,5,0
2581567,.0859375,.197056179097287,-.206218092538042,3,19,1,2,East Asian,1,1,-3,4,7
2581574,0,.242674293293307,.181781377369446,0,18,1,2,White or Caucasian,1,1,2,1,-1
2581587,.0078125,.790657749110885,.844765185993263,3,20,1,2,White or Caucasian,2,1,-1,4,5
2581590,0,-.0331814814084231,.593911674910109,0,20,1,2,White or Caucasian,2,1,4,4,0
2581594,0,.572920577318412,-.0284407899252382,1,19,1,2,White or Caucasian,1,1,4,4,0
2581595,.015625,1.05166471859224,.78821593748551,3,20,1,3,East Asian,2,1,0,5,5
2581598,.0078125,.834014704899586,.182773352774405,1,20,1,2,White or Caucasian,2,1,4,4,0
2581614,.0078125,-.392209139211806,.236671496921847,2,19,1,2,White or Caucasian,2,1,-1,5,6
2581620,0,-.438329735991346,.777866467222922,0,18,1,2,White or Caucasian,1,1,5,5,0
2581626,0,.0412883015729423,.575613674506258,0,19,1,2,White or Caucasian,1,1,4,5,1
2581633,0,.96751532117736,.858734086803745,3,19,1,2,South Asian,2,1,-3,5,8
2581639,0,.126625718161783,.536997359282734,2,20,1,2,White or Caucasian,1,1,4,5,1
2581646,0,.484399155422197,1.25773363698734,0,18,1,2,White or Caucasian,2,1,5,5,0
2581655,0,.113003958485519,.239554631385055,0,19,1,3,White or Caucasian,2,1,3,3,0
2581660,0,.970177637558682,.949935348211619,1,22,1,2,Black or African,2,1,0,5,5
2581664,0,.24224331172456,.781528991885802,1,19,1,2,East Asian,1,1,0,3,3
2581667,0,.248555449133495,.659351385020809,0,18,188,2,Black or African,2,1,3,4,1
