session_id,ErrorPct,TooFast,Condition,ConditionNum,Age,Ethnicity,Gender,Race,WhiteAsianBIAT,WhiteHispBIAT,WhiteBlackBIAT,AsianHispBIAT,AsianBlackBIAT,HispBlackBIAT,WhiteImpAgg,HispImpAgg,AsianImpAgg,BlackImpAgg,RaceFocal,WhiteAsianExp,WhiteHispExp,WhiteBlackExp,AsianHispExp,AsianBlackExp,HispBlackExp,WhiteExpAgg,BlackExpAgg,AsianExpAgg,HispExpAgg,CondxImpWB,CondxImpWH,CondxImpWA,WhiteMinorityBIAT,WhiteMinorityExp
2425381,.0208333333333333,0,good,1,18,2,1,6,.988370489721446,1.27735575019206,.50756796778881,.115348023942142,-.179645589086825,-.905371392450511,.924431402567437,-.766025055528236,-.350889351622043,.192483004582842,White,0,0,0,0,0,0,0,0,0,0,.50756796778881,1.27735575019206,.988370489721446, , 
2425382,.0833333333333333,0,bad,-1,19,2,1,6,-.0832857567434138,-.241291778955561,.386527043069825,.522220565736689,-.527009217048043,.789044707373401,.0206498357902835,.169371973530758,.0261657018106864,-.216187511131727,White,1,1,1,2,1,-1,1,-.333333333333333,-1.33333333333333,.666666666666667,-.386527043069825,.241291778955561,.0832857567434138, , 
2425434,.0729166666666667,0,good,1,18,2,1,6,.439765788668117,.894081892718193,-.0981241103447952,.864355629059076,.371122815854497,.179709806667123,.411907857013838,-.526242571703382,.265237552081819,-.150902837392275,White,0,1,0,0,0,0,.333333333333333,0,0,-.333333333333333,-.0981241103447952,.894081892718193,.439765788668117, , 
2425525,.0416666666666667,0,bad,-1,18,2,1,6,.889983999448406,.304449989025848,.557675624633917,.659828231950107,.806500794919389,-.2621633190938,.584036537702724,-.408813846689918,.192115009140363,-.367337700153168,White,0,0,0,-2,-1,1,0,0,1,-1,-.557675624633917,-.304449989025848,-.889983999448406, , 
2426435,.119791666666667,0,bad,-1,18,2,1,6,.0964932628244775,.590698281152513,.341488016906249,-.327966253880265,-.124144165337,.53008219208371,.34289318696108,.0891167216038207,-.182867894013914,-.249142014550987,White,0,0,0,0,0,0,0,0,0,0,-.341488016906249,-.590698281152513,-.0964932628244775, , 
2426438,.140625,.0416666666666667,good,1,19,2,1,6,.611521726392213,.138724999448337,.327240093628333,-.333377160315415,.310141276148527,-.379038733143097,.359162273156294,-.061462190758673,-.211585870186367,-.0861142122112541,White,0,0,0,0,0,0,0,0,0,0,.327240093628333,.138724999448337,.611521726392213, , 
2426639,.0885416666666667,0,bad,-1,18,2,1,6,.236583476321977,-.731925853708167,.562494609087135,.633661061045384,-.113670593469941,.316381874498947,.0223840772336483,.138215555720577,.0944689970844889,-.255068630038714,White,2,2,1,-1,0,0,1.66666666666667,-.333333333333333,-.333333333333333,-1,-.562494609087135,.731925853708167,-.236583476321977, , 
2426748,.104166666666667,0,good,1,18,2,1,6,.205462774621143,-.714342641399529,.419999307080519,.267929327850167,-.740222876336936,-1.05651722155099,-.0296268532326222,-.203367969333877,-.225918774369304,.458913596935803,White,0,0,0,0,0,0,0,0,0,0,.419999307080519,-.714342641399529,.205462774621143, , 
2426751,.078125,0,good,1,19,2,1,6,.51270686151994,-.326562752742202,-.778177315325367,-.596172091652317,-.513059799331536,-.216466376954254,-.197344402182543,.235422822480089,-.540646250834598,.502567830537052,White,0,0,0,0,0,0,0,0,0,0,-.778177315325367,-.326562752742202,.51270686151994, , 
2426939,.015625,.00520833333333333,good,1,21,2,1,6,-.554272900478032,.421125657320795,-.0872855868035245,1.26988494555063,.897114448129932,-.206654418662039,-.0734776099869204,-.632555007177821,.907090764719531,-.201058147554789,White,0,0,0,0,0,0,0,0,0,0,-.0872855868035245,.421125657320795,-.554272900478032, , 
2426941,.0729166666666667,0,bad,-1,19,2,1,6,.773725017174228,.499440486561677,.617417530666943,.233324237281557,.619168450836781,.584121729588695,.630194344800949,-.049547664751513,.0262558903147031,-.60690257036414,White,0,0,0,0,0,0,0,0,0,0,-.617417530666943,-.499440486561677,-.773725017174228, , 
2430752,.223958333333333,0,bad,-1,18,2,1,6,.447927143115321,.434084574039675,.682430854944579,-.717604551769213,-.375338533309865,-.457534455958009,.521480857366525,-.0580048260761568,-.513623409398133,.0501473781077649,White,1,1,1,0,0,0,1,-.333333333333333,-.333333333333333,-.333333333333333,-.682430854944579,-.434084574039675,-.447927143115321, , 
2430754,.151041666666667,0,good,1,18,2,1,6,.593621884709202,.576349552970724,.647643810005054,.224248268530233,-.280528097397057,.502723592982337,.605871749228327,-.0992914095062069,-.216633904525342,-.289946435196778,White,2,3,2,-3,-1,2,2.33333333333333,-.333333333333333,.666666666666667,-2.66666666666667,.647643810005054,.576349552970724,.593621884709202, , 
